connections_version;connection_from;connection_fromLane;connection_to;connection_toLane
1.9;22791191#0;1;22791191#1;1
1.9;22791191#1;0;gneE130;0
1.9;22791191#1;0;142677518;0
1.9;22791191#1;1;142677518;1
1.9;22791191#1;1;22791190#0;0
1.9;22791193#0;0;22791193#1;0
1.9;22791193#0;1;22791193#1;1
1.9;22791193#1;0;22791193#2;0
1.9;22791193#1;1;22791193#2;1
1.9;22791193#2;0;22791193#3;0
1.9;22791193#2;1;22791193#3;1
1.9;22791193#3;0;22791193#3.21;1
1.9;22791193#3.21;0;142944343#1;0
1.9;22791193#3.21;1;142944343#1;1
1.9;22791193#3.21;2;14432781#1;0
1.9;22815726;0;43118542;0
1.9;22815726;1;43118542;1
1.9;22815726;2;37071273#0;0
1.9;22821531#0;0;74548561#1;0
1.9;22821531#0;0;22653472;0
1.9;22821531#0;1;22653472;1
1.9;22964540;0;22791193#0;0
1.9;22964540;1;22791193#0;1
1.9;234423652#0;0;234423652#1;0
1.9;234423652#0;1;234423652#1;1
1.9;234423652#0;2;234423652#1;2
1.9;234423652#1;0;538341584#0;0
1.9;234423652#1;1;538341584#0;1
1.9;234423652#1;2;538341584#0;2
1.9;234561088;0;606439149;0
1.9;234561088;1;606439149;1
1.9;23489827#1;0;gneE126;0
1.9;23489827#1;0;252993342#0;0
1.9;23489827#1;1;252993342#0;1
1.9;23489827#1;1;22791191#0;1
1.9;23917006#0;;;
1.9;23925229;0;23925230;0
1.9;23925229;1;23925230;1
1.9;23925229;2;23925230;2
1.9;23925230;0;-8300811#3;0
1.9;23925230;0;606439147#2;0
1.9;23925230;1;606439147#2;1
1.9;23925230;2;142944224#3;0
